,link,site,category,article,article_date,verbs,quantity
104,https://times.mw/malawi-revenue-authority-confiscates-109-bags-of-chamba/,times.mw,chamba,"Home/National/Malawi Revenue Authority confiscates 109 bags of chamba
National
Malawi Revenue Authority confiscates 109 bags of chamba
Tom Sangala
January 5, 2016
291 1 minute readAdvertisement
The Malawi Revenue Authority (MRA) on Sunday evening impounded a vehicle carrying 109 bags of cannabis sativa, popularly known as Chamba, each weighing about 30 kilogrammes at its Lirangwe customs roadblock in Blantyre.
MRA officials estimate the consignment to be worth billions.
Chamba is still illegal in the country and officials at the tax-collecting body have said the van registration ZA 1580 and owned by Chatherm Technologies was on its way to Blantyre from Nkhotakota.
Advertisement
Apparently, the van managed to cross all the roadblocks along the country’s main roads with the consignment.
But officials manning the Lirangwe road block, which checks any goods going in and out of Blantyre City, say they stopped and forced the driver and three other people out of the vehicle upon his reluctance to voluntarily allow the officers to search the vehicle.
They searched the van and noticed that all the 109 bags it was transporting were actually filled with the illegal herb.
Advertisement
The officials at the road block also stated that Police are yet to make any arrest on matter as the driver and the other three escaped as the police were searching the van.
So far Michael Mlenga of Nancholi Township in Blantyre has claimed ownership of the vehicle which is white in colour although its registration documents indicate it is red and is owned by a Mr. B Chawawa.
In an interview later, Deputy Director of Corporate Affairs at MRA, Steven Kapoloma, confirmed the development, saying police are really yet to make any arrests.
“Indeed as MRA we impounded a van which was transporting about 109 bags of chamba to Blantyre, this is part of our mandate as apart from collecting tax we also are under obligation to protect Malawian citizens from hazardous goods and products which may enter the country through our borders,” Kapoloma said.
Meanwhile, Kapoloma has also said MRA has officially handed over the Indian hemp to the police to help with investigations and disposal.
“Our role as MRA ended when we handed over the consignment to the Police to investigate and dispose of the consignment, but still more we will follow through the whole process,” He said.
Tom Sangala
A vibrant writer who gives a great insight on hot topics and issues
Advertisement
Tags
MRA",0109-09-10 00:00:00,"confiscate, confiscate, impound, carry, know, weigh, estimate, collect, say, own, manage, cross, man, check, go, say, stop, force, allow, search, search, notice, transport, fill, state, make, escape, search, claim, indicate, own, confirm, say, make, impound, transport, collect, protect, enter, say, say, hand, help, end, hand, investigate, dispose, follow, say, give",about 30 kilogrammes
105,https://www.nyasatimes.com/malawi-soldier-prison-warder-jailed-15-years-robbery-chamba-peddlers-caged/,www.nyasatimes.com,chamba,"Malawi soldier, prison warder jailed 15 years for robbery: Chamba peddlers cagedSeptember 16, 2016 Mphatso Nkhoma - Nyasa Times 1 CommentMalawi Defence Force (MDF) soldier, a Malawi Prison Service (MPS) warder and two others have been sentenced to 15 years imprisonment  for a series of robberies in the  capital, Lilongwe and surrounding areas.
Chamba convict
The convict with his two bags of Chamba
The soldier Noel Kabango (35), working at the Support Battalion and the gang members were  arrested following a robbery at Chipiku shop in Nkhoma where over K3 million  was stolen last month when they were armed with a rifle from the MDF containing 19 rounds of ammunition.
The soldier and his three accomplices  Jafali Bashiri (20), Mixon Banda (36) and Lyton Magombo (25),  pleaded guilty to taking part in a robbery on August 26 this year and hacked shop manager.
Malawi soldiers have previously appealed for an increase in their salaries, said to be meagre.
But Principal resident magistrate Patrick Chirwa said a soldier and prison officer should have been the last people to engage in crimes considering that they were entrusted with the security of the country.
“Yet, here we have them at the forefront using the skills and training they were entrusted with to terrorise their own beneficiaries. It is a very upsetting situation. For these reasons, I do not think a non-custodial sentence could serve the purpose in sentencing them.
“It is better for them to nurse their remorse while serving a long custodial sentence than for them to be let loose within the shortest period of time when the potential of them regrouping for further crimes is still in sight.”
Chirwa said the offenders deserved more than the recommended 10 years imprisonment because they did not just brandish a dangerous weapon, but they used it to inflict three painful scars on a helpless victim.
Elsewhere
In Dowa, first grade magistrate court has convicted and sentenced Weluzani Singade (35- years) and Kwame Banda (21-years) to 30 and 20 months imprisonment with had labour (IHL) respectively without the option of fine,  for being found in possetion of Indian hemp.
The two convicts comited the offences on different days.
But they were all busted on a road block.
The first case was prosecuted by constable Regina  Kumwenda and the second case was prosecuted by sergeant Triza Kalonjele.
The two prosecutors told the court to give stiffer sentences to deter other would be offenders.
The fisrt grade magistrate Amulan Phiri agreed with the prosecutors for a stiff sentences.
He therefore sentenced them to 30 and 20 months repectively without the option of fine.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempMalawi Defence Forcerobbery",2022-09-15 00:00:00,"jail, sentence, surround, work, arrest, follow, steal, arm, contain, plead, take, hack, appeal, say, say, engage, consider, entrust, have, use, entrust, terrorise, think, serve, sentence, nurse, serve, let, regroup, say, deserve, recommend, brandish, use, inflict, convict, sentence, find, comite, bust, prosecute, prosecute, tell, give, deter, agree, sentence, care",over K3 million
106,https://mwnation.com/mra-chases-arrests-driver-68-bags-chamba/,mwnation.com,chamba,"MRA chases, arrests driver with 68 bags of ‘chamba’by Sam Chunga 07/12/2017 in National News 2 min read
0  Driver Noel Banda may have thought he was pulling a fast escape when he crashed through a special road block set up by Malawi Revenue Authority (MRA) and police officers near Madisi in Dowa at around 1am last Thursday.
But it took only a few minutes for him to realise that his game was almost over, as the officers jumped into their vehicle and gave chase to his Toyota Dyna van registration BLK 4690.
Police intercept chamba transporters in this file photograph
After a five-kilometre chase, the officers had cornered Banda to a stop. When Banda initially responded that he was carrying stationery from Mzuzu to Lilongwe, the officers expressed reservations even before they inspected the load locked away in the van.
That is how the officers found, and impounded, 68 bags of suspected Indian hemp (chamba). There was no stationery found.
MRA, which sets up such patrols based on intelligence information that illicit goods are transported in the wee hours of the night in certain ‘porous’ areas, handed over the suspected chamba to  Lilongwe Police Station on Monday morning.
Lilongwe Police Station spokesperson Kingsley Dandaula said samples of the haul will be sent to Chitedze Research Station for analysis before a charge can be pressed against Banda, who is being kept at the station’s cells.
Dandaula praised MRA for their innovative special patrols nationwide which he said are helping the Malawi Police Service (MPS) in clamping down on criminal activities.
MRA head of corporate affairs Steve Kapoloma yesterday saluted the police for helping his organisation to put a stop to the movement of illicit goods.
“Our special patrols, which also target border areas where Indian hemp and other drugs may be easily moved in or outside Malawi through uncharted routes, have proved very successful. This latest catch is proof that we need to work harder in securing our roads and our nation,” he said. n",2068-09-10 00:00:00,"driver, read, think, pull, crash, set, take, realise, jump, give, intercept, corner, respond, carry, express, inspect, lock, find, impound, suspect, be, find, set, base, transport, hand, suspect, say, send, press, keep, praise, say, help, clamp, salute, help, put, target, move, prove, need, work, secure, say",five-kilometre
110,https://www.mwnation.com/police-intercept-chamba-under-bales-of-sugar/,www.mwnation.com,chamba,"Police intercept chamba under bales of sugarby Thoko Chikondi 26/07/2015 in Front Page, National News 1 min read
0Police in Limbe on Friday intercepted a consignment of Indian hemp (chamba) hidden under bales of sugar in an articulated truck which was transporting sugar from Dwangwa in Nkhotakota to Blantyre. According to Limbe Police Station officer-in-change Josiah Kanthiti, three people have since been arrested in connection with the 13 bags of chamba, which were packed in 90-kilogramme bags.
Kanthiti refused to give details of the suspects. He said police intercepted the truck at Area 5 in Machinjiri, Blantyre following a tip-off, adding that the hemp will be taken to Bvumbwe Research Station in Thyolo for verification. In the picture, police officers inspecting the chamba at Limbe Police Station.—Thoko Chikondi, Photojournalist
Tags: Chamba",2015-07-26 00:00:00,"intercept, read, intercept, hide, transport, accord, arrest, pack, refuse, give, say, intercept, follow, add, take, inspect",90-kilogramme
114,https://times.mw/malawi-police-intercept-chamba-cake/,times.mw,chamba,"Home/National/Malawi Police intercept chamba cake
National
Malawi Police intercept chamba cake
Tom Sangala
January 8, 2016
242 Less than a minuteAdvertisement
Malawi Police at Kamuzu International Airport (KIA) in Lilongwe Thursday intercepted Cannabis sativa, locally known as chamba, in cake form, weighing 4 kilogrammes.
According to KIA Police Public Relations Officer (PRO) Sapulain Chitonde, the illegal drug was wrapped in carbon papers covered with pepper “to disguise the smell and beat security.”
“The parcel was posted from Zimbabwe by a Cleyton Hickey, 19, whose address is Oakland Road, Braeside, Harare and it was going to Richard Peterson, 89, of Woodheyes Road, London, using Zimbabwean Post Office on Kenyan Airways from Zimbabwe through Malawi to the UK,” said Chitonde.
Advertisement
He added that KIA Police have stepped up security at the airport especially when it comes to scrutinising every parcel that enters or leaves the airport, hence the interception of the illicit drug.
The KIA Police PRO said no arrest has been made so far because the parcel was sent from Zimbabwe.
“We will communicate with our colleagues in Zimbabwe so that they can trace the sender using the name and address that we have,” said Chitonde.
Advertisement
Illegal importation of dangerous drugs is contrary to section 11 as read with regulation 19 of the Dangerous Drugs Act.
KIA Police have in the past intercepted a number of illegal exports and imports which include the lucrative but banned game trophies popularly known as ivory and round wood.
Facebook Notice for EU! You need to login to view and post FB Comments!
Tom Sangala
A vibrant writer who gives a great insight on hot topics and issues
Advertisement
Tags
Chamba",2022-09-15 00:00:00,"intercept, intercept, intercept, know, weigh, accord, wrap, cover, disguise, beat, post, go, use, say, add, step, come, scrutinise, enter, leave, say, make, send, communicate, trace, use, have, say, advertisement, read, intercept, include, ban, know, need, login, view, post, give",4 kilogrammes
117,https://www.nyasatimes.com/five-chamba-convicts-escape-jail-sentence-after-paying-fine/,www.nyasatimes.com,chamba,"Five chamba convicts escape jail sentence after paying fineApril 15, 2016 Nyasa Times Reporter 6 CommentsThe Balaka First Grade Magistrate court in eastern Malawi has ordered five people to pay a fine of K210, 000.00 for being found in possession of as Indian hemp, locally known as chamba.
Belewa: Why me?
Police Prosecutor Sergeant Christopher Nyirongo told the court that the suspects Boniface Brasho 23, Gift Banda 37, George Biliwita 22, Memory Banda 23 and Mayeso Misomali 30 were found with over 700 kilograms of the illegal herb on 6th April, 2016 within Balaka town.
“The suspects were traveling in motor vehicles Toyota Noah registration number NU 5035 and a Toyota Corolla registration number KA 4516 from Nkhotakota heading Zomba, and were intercepted within Balaka Town after the Police erected an abrupt road block,” he said.
The suspects pleaded guilty to the offence of being found in possession of Indian hemp and upon submission of the facts by the state.
Nyirongo asked the court to consider giving the suspects a stiffer sentence considering that “the suspect are not first offenders” as they were also convicted by the Salima Magistrate Court on the similar charge.
He said this shows that they are not changing hence the need for a stiffer sentence.
In their mitigation, the suspects pleaded for forgiveness saying they were doing this because of poverty and that they have children to look after.
Passing judgment, First Grade Magistrate Felix Mandala said the suspects deserved stiffer sentences and then ordered Boniface Brasho and George Biriweti to pay a fine of K60, 000.00 each and in default serve a 6 months custodial sentence.
The Magistrate also ordered Gift Banda, Memory Banda and Mayeso Misomali to pay a fine of K30, 000.00 each and in default serve a 3 months custodial sentence.
Mandala said he has given them such a sentence so that it should be lesson to them and would be offenders. The court has also ordered that the cannabis sativa be destroyed.
All the suspects paid the fines.
In a related development Police in Dowa this week arrested a 44-year-old man on suspicion that he was cultivating Indian hemp.
Dowa Police spokesperson Richard Kaponda identified  the suspecr as Luka Belewa.
He said police also uprooted the plant grown on about half an acre.
Kaponda said the suspect comes from Mtengowopota Village, Traditional Authority (T/A) Msakambewa in the district.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
BalakaIndian hemp",2016-04-15 00:00:00,"escape, pay, order, pay, find, know, tell, find, travel, head, intercept, erect, say, plead, find, ask, consider, give, consider, convict, say, show, change, plead, say, do, have, look, pass, say, deserve, order, pay, serve, order, pay, serve, say, give, order, destroy, pay, relate, arrest, cultivate, identify, say, uproot, grow, say, come, care",700 kilograms
119,https://www.nyasatimes.com/malawi-police-arrest-zambian-woman-for-chamba/,www.nyasatimes.com,chamba,"Malawi Police arrest Zambian woman for ChambaJune 5, 2012 Nyasa Times Be the first to commentPolice in Mzimba have arrested 56 year old Zambian woman Hildah Phiri for being found in possession of 6 bags of Indian Hemp each weighing 90kgs.
Phiri, comes from Chiundira village in the area of T/A Magodi, Lundazi district.
Mzimba police spokesperson Gift Nyirongo confirmed the arrest in an interview on Monday.
Mzimba police spokesman Gift Nyirongo
Nyirongo said the police worked on from members of the public that the woman had hired a vehicle in order to ferry the illicit drug to Lundazi, Zambia.
He said police officers from Emfeni police unit followed up the matter to Mgozga where the illegal drug was being packed.
”The police therefore established a snap road block at Chibandauka trading centre, which is a kilometre from Mgozga,” said Nyirongo.
He said at around 11pm, a motor vehicle-Toyota pick up registration number KU 1929- carrying the 6 bags was impounded at the road block.
The PRO said the woman has since been charged with the offence of being found in possession of Indian Hemp and will apear in court soon.
Most of the illicit drug cases in Mzimba are being registered in Mgozga area, where Chamba is extensively cultivated.
Mgozga lies in a fertile belt on the side of the south eastern part of Mzimba in the area of traditonal authority Mabulabo, the belt stretches into Nkhota-kota, Kasungu and Nkhata-bay.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempMzimbaZambia",2012-06-05 00:00:00,"arrest, arrest, find, weigh, come, confirm, say, work, hire, ferry, say, follow, pack, establish, say, say, pick, carry, impound, say, charge, find, apear, register, cultivate, lie, stretch, care",a kilometre
125,https://www.mwnation.com/police-intercept-16-bags-of-chamba/,www.mwnation.com,chamba,"Police intercept 16 bags of chambaby Dyson Mthawanji 17/11/2016 in National News 1 min read
0  Police in Kasungu have arrested Noel Matimati, 25, Andrew Moshe, 29, and Harry Kadzandira, 25, for being found in possession of Indian hemp.
Kasungu Police Station deputy spokesperson Harry Namwaza said police were tipped-off that a minibus travelling from Shayona towards Chasato was suspected to have carried Indian hemp.
Namwaza: We were tipped
Namwaza said: “Police mounted a roadblock along Shayona-Chasato earth road where they managed to intercept a Nissan Vanette registration BU 3907.
“ After searching the vehicle, we found 16 bags of loose cannabis sativa each weighing 50 kilogrammes. The three men were arrested on the spot and charged with being found in possession of Indian hemp without a licence.”
Namwaza said the hemp will be taken to Chitedze Research Station for analysis. The three will appear before court soon when police inquiries are completed
Matimati comes from Lolo Village, Traditional Authority (T/A) Changata in Thyolo, Moshe comes from Chamthunya Village, T/A Nsamala in Balaka while Kadzandira comes from Misi Village, T/A Msakambewa in Dowa. n",2022-09-16 00:00:00,"intercept, read, arrest, find, say, tip, travel, suspect, carry, tip, say, mount, manage, intercept, search, find, weigh, arrest, charge, find, say, take, appear, complete, come, come, come",50 kilogrammes
127,https://mwnation.com/forestry-department-destroys-chamba-planted-reserve/,mwnation.com,chamba,"Forestry Department destroys chamba planted in reserveby Davie mchinga 31/10/2017 in National News 2 min read
0  Nkhotakota Forestry Department on Saturday made a surprise raid in Dwambazi Forest Reserve where they destroyed Indian hemp and other crops planted by encroachers.
Similar attempts to drive out the encroaching communities, particularly from traditional authorities Kanyenda and Kafuzira, have proven futile as encroachers continue breaking new ground.
A forestry officer slashes chamba and beans
The operation, jointly conducted with armed game rangers from African Parks which is managing Nkhotakota Wildlife Reserve under a 20 year-long concession in a public private partnership arrangement, saw hundreds of hectares of Indian hemp, commonly called chamba, being destroyed while other crops such as beans, soya beans and maize were also slashed down.
In an interview after the exercise, district forestry officer George Ziphophe said he is not happy with the rate at which the forest is fast being turned into a hotspot for chamba cultivation.
He said the forest is being targeted for cultivation because of its fertile soils.
“There are a number of factors that compel these people to encroach into the forest. One such factor is fertility. The soils are very rich in mineral salts, hence, they do cultivate without fertiliser.
“Additionally, the moisture content is good such that they do farm in summer. But we cannot condone such illegal practice to prevail. We will take them head on,” he said.
According to a 2009 Nkhotakota District Social Profile, the 36 600 hectare forest reserve, which was gazetted in 1996, had 145 encroaching households that occupied about 283 hectares.
Dwambazi Forest Reserve is one of the largest water catchment areas where rivers such as Dwambazi, Mkoma, Khuyu, Luluzi, and Chiphumbulu. n",2017-10-31 00:00:00,"destroy, plant, read, make, destroy, plant, drive, encroach, prove, continue, break, slash, conduct, manage, see, call, destroy, soya, slash, say, turn, say, target, be, compel, encroach, cultivate, do, condone, prevail, take, say, accord, gazette, have, encroach, occupy",about 283 hectares
137,https://www.nyasatimes.com/two-jailed-six-years-over-40-bags-of-indian-hemp/,www.nyasatimes.com,chamba,"Two jailed six years over 40 bags of Indian HempMarch 18, 2016 Maurice Nkawihe- Nyasa Times Be the first to commentThe Blantyre magistrates Court on Thursday convicted and subsequently sentenced two men to six years imprisonment with hard labour for being found in possession of 560 kilograms of Indian hemp locally known as Chamba.
Chamba peddlers in with their bags containing the ‘golden leaf’
Chief Resident Magistrate, Thomson Ligowe jailed Jambo Jambo, 42, and his accomplice Boniface Chinthenga 40 years old after they pleaded not guilty to the charge of being found in possession of Cannabis Sativa contrary to Section 4 (a) of the Dangerous Drugs Regulations and 19 (1) of Dangerous Drugs Act.
Police prosecutor, Superintendent Moja Phiri told the court that the two were arrested by the police who mounted an adhoc roadblock at Green Corner along Chikwawa road in Blantyre.
Jambo was arrested on 23rd December, 2015 while his accomplice- who had escaped- was arrested a day later.
Phiri disclosed that 40 bags of Chamba were recovered from a lorry and a minibus the two were using to ferry the illegal substance.
The Indian hemp, the court was told, was firstly packed in the minibus driven by Chinthenga before being transferred to into the lorry driven by Jambo which had carried maize husks to be delivered in Nsanje district.
Chinthenga had managed to escape but was later on traced and arrested.
Magistrate Ligowe convicted the two after four witnesses testified against them including Doctor Moses Munthali, an analyst from Bvumbwe Research Station.
Jambo hails from Jambo village, T/A Mbenje in Nsanje while Chinthenga
comes from Ndalama village, T/A Chikowi in Zomba district.
Cultivating or selling of Indian hemp is illegal in Malawi though currently government is doing trials on industrial hemp as one of the strategies to boost the country’s ailing economy.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hemp",2040-09-10 00:00:00,"jail, magistrate, convict, sentence, find, know, contain, jail, plead, find, tell, arrest, mount, arrest, arrest, disclose, recover, use, ferry, tell, pack, drive, transfer, drive, carry, deliver, manage, escape, trace, arrest, convict, testify, include, hail, come, cultivate, do, boost, ail, care",560 kilograms
138,https://mwnation.com/hemp-legal-music-shows/,mwnation.com,chamba,"Is hemp legal at music shows?by Yvonnie Sundu 07/01/2015 in Entertainment News 3 min read
0Growing, using, or possessing marijuana is illegal in Malawi. But it appears both production and sales are rising.
The growth in sales means that growers cultivating the drug are motivated by large profits they gain from its sales.
A pregnant woman blows a blunt at Matafale Memorial
The production and selling of chamba has been increasing in the country over the years.
However, it is arguably premature to ascertain if efforts to curb its production are also on the increase.
In 2010 alone, the Malawi Police Service confiscated about 70 000 kilogrammes of the illicit drug.
According to the United Nations figures on number of chamba seizures in Malawi from 1995 to 2000 published in the 2003 Institute for Security Studies Report, 403 500 kilogrammes of cannabis was impounded.
The availability of ‘weed’ has reached an alarming rate in the country.
And this is evident in public spheres.
At almost every secular music show, revellers party with either chamba or smoke emanating from it.
Merchants openly selling chamba at the Matafale Memorial in Chileka, Blantyre last year
Men and women are publicly seen selling the product, even luring customers by capitalising on the perceived benefits of chamba.
All this happens in full view of police officers, who are there to ensure security at the shows. Yet, this hallucinogenic variant is banned in Malawi.
In 2000, the Rastafari
community in Malawi went to court to demand the right to smoke marijuana.
This subsequently resulted in government briefly exploring the possible legalisation of Indian hemp, despite police warnings of potential abuse by cannabis growers.
This was championed in Parliament by the then Deputy Minister of Agriculture Joe Manduwa, who argued that the plant could be a valuable alternative to tobacco.
The idea was supported by a number of MPs, but it never saw the light of day, meaning chamba remains illegal in Malawi.
Malawi Police Service press and public relations officer, Rhoda Manjolo, says the responsibility of providing security is for everyone in the country.
“People need to be proactive in terms of security and not wait for the police to always act. It is high time we start taking a collective measure. There are a lot of people who have been arrested for being found in possession of chamba, for instance.
“Talking about chamba smoking or selling at musical shows, there are a lot of people at such events as compared to the number of police officers, who are evidently busy with other equally important things,” she says.
Manjolo explains that sometimes the police miss out on certain things happening at the event.
“Again, police feel that arresting people at such places is disturbing the freedom and enjoyable environment for people,” she explains.
On their part, Musicians Union of Malawi (MUM) says police are to blame for the proliferation of chamba, even in townships where youths are openly puffing on the blunt.
“Some police personel do not go to musical shows to work, but to enjoy with the people; hence, they forget their number one responsibility: security. The police are to blame because they are mandated by law to control any kind of misbehaviour.
“As MUM, we have agreed that no one should be seen smoking chamba in public and check around, many musicians are respecting that. It’s the fans and the police that are misbehaving,” argues the union’s president Reverend Chimwemwe Mhango.
Clinical psychologist Chiwoza Bandawe contends the police are not assuming their key responsibility of enforcing law and order.
“People are motivated by profit and are attracted to where there are customers. A social event is attractive to such persons. Therefore; people take advantage of social events like musical gigs to do things like the sell or smoking of chamba.
“However, this demonstrates that the enforcement agencies are not actively enforcing the law. The society is also watching without approaching such people and asking to smoke elsewhere or to stop,” he states.
According to Bandawe, marijuana is a harmful substance whose main chemical ingredient is tetrahydrocannabinol (THC), which is a fatty substance that remains in the body for up to three months after smoking.
It is associated with mental health problems in particular cannabis induced psychosis due to damage to the brain cells that THC causes.
Tags: Chamba",2015-07-01 00:00:00,"read, use, possess, appear, rise, mean, cultivate, motivate, gain, blow, increase, ascertain, curb, confiscate, accord, publish, impound, reach, smoke, sell, see, sell, lure, capitalise, perceive, happen, ensure, ban, go, demand, smoke, result, explore, champion, argue, support, see, mean, remain, say, provide, need, wait, act, start, take, be, arrest, find, talk, sell, be, compare, say, explain, miss, happen, feel, arrest, disturb, explain, say, blame, puff, go, work, enjoy, forget, blame, mandate, control, agree, see, smoke, check, respect, ’, misbehave, argue, contend, assume, enforce, motivate, attract, be, take, do, demonstrate, enforce, watch, approach, ask, smoke, stop, state, accord, remain, associate, induce, cause",about 70 000 kilogrammes 403 500 kilogrammes
144,https://www.nyasatimes.com/malawi-airport-police-intercept-uk-bound-marijuana-from-zimbabwe/,www.nyasatimes.com,chamba,"Malawi airport police intercept UK-bound marijuana from ZimbabweJanuary 8, 2016 Kondwani Magombo –Mana 2 CommentsPolice at Kamuzu International Airport (KIA) on Thursday intercepted chamba “cakes” weighing 4kg posted from Harare, Zimbabwe, and heading to the United Kingdom on Kenyan Airways.
The seized chamba ‘cakes’ – Pic. Courtesy of KIA Police
Spokesperson for KIA Police, Sgt. Sapulain Chitonde, told Mana that the chamba was disguised as cakes and wrapped in carbon papers, which were covered with hot pepper apparently in an attempt to kill the smell.
“The parcel was en route to UK with a London address as its destination, and a Harare address as where it was posted from,” explained Chitonde.
He said the authorities were yet to chart the next step regarding the parcel which had since been seized.
This is the first chamba (Cannabis sativa) interception at KIA in the year but more similar cases were reported at the airport between August and November in 2015.
During the period, police in Blantyre arrested a Nigerian known as Mzee Chidiebere on allegations that he was behind the posting of some such parcels from Blantyre to Europe via KIA.
Importation, exportation, possession or consumption of chamba is illegal in Malawi under Sec. 11 (A) of the Penal Code as read with Regulation 19 of Dangerous Drug Act, according to Chitonde.-Mana
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempKamuzu International Airport",2016-01-08 00:00:00,"intercept, bind, intercept, weigh, post, head, seize, tell, disguise, wrap, cover, kill, post, explain, say, chart, regard, seize, report, arrest, know, read, accord, care",4kg
145,https://www.nyasatimes.com/malawi-police-nab-indian-hemp-peddlers-in-nkhotakota/,www.nyasatimes.com,chamba,"Malawi Police nab Indian hemp peddlers in NkhotakotaSeptember 5, 2015 Williams Kaponda -Nyasa Times 21 CommentsPolice in Nkhotakota arrested four men for illegally found in possession of Indian hemp locally known as Chamba.
Chamba peddlers in Nkhotakota with their bags containing the ‘golden leaf’
Among the suspect’s were Felix Maulidi (35) and January Jafali Phiri (30) who are co-accused of found with 26 bags of the illicit drug loaded in 90 and 50 kilograms sacks.
Nkhotakota police station criminal investigation officer (SCIO), assistant superintendant Cosmas Kadzandira told Nyasa Times: “Working on a tip, on the night of Monday August 31, 2015, we ambushed the house of Felix Maulidi at Mchambwe village, just few metres before Lake Malawi.
“Later upon search, we found 26 bags of hemp of which nine were loaded in sacks covered with mosquito nets. We arrested Maulidi.”
He said during questioning, Mualidi confessed that he is not the owner but January Phiri who came in the night and coaxed him to keep the illicit drug.
But before making a move to arrest Phiri two drug traffickers Steven Phiri (30) and Chilizani Mwenda (20) unknowingly passed by police at the scene. During the time, police did not use police motor vehicle. When stopped and asked what was in their bags one voluntarily revealed that they have carried the dangerous drug and were immediately arrested.
Thereafter, the police arrested January Jafali Phiri at Nkhotakota trading centre.
All have been charged with a case of found in possession of cannabis sativa contrary to section 4 (a) of the dangerous drugs regulation and 19 (1) of Dangerous Drug Act.
The suspects Felix Maulidi (35) and his co-accused January Jafali Phiri (30) hail from Mchambwe village, in the area of traditional authority (T/A) Mphonde in Nkhotakota and Mwasinja in the area of traditional authority (T/A) Kachindamoto in Dedza district respectively.
While the other two are Steven Phiri (30) and Chilizani Mwenda (20) all fom Kabuwa village, in the area of traditional authority (T/A) Khonsolo in Mzimba district.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempNkhotakota",2015-09-05 00:00:00,"nab, arrest, find, know, contain, co, -, accuse, find, load, tell, work, ambush, find, load, cover, arrest, say, confess, come, coax, keep, make, arrest, pass, use, stop, ask, reveal, carry, arrest, arrest, charge, find, -, accuse, fom, care",50 kilograms just few metres
